如意,2,10,好评,很好看，又搞笑，拍的好！期待赶快出来续集.....
千年以后的小燕子,2,10,好评,个人感觉就是 现实生活中 叛逆期的孩子 蜕变的过程 
吖！彬仔..,1,10,好评,不错😊 ，不错！！！
萌萌兔茉莉,0,10,好评,"被魔丸附体的哪吒，从出生就被孤立，渴望被认可，玩世不恭，天生聪明…
天劫的场面很震撼，敖丙在友情和家族命运，正义与邪恶面前的纠结…最后兄弟齐心，坚决不向命运低头，我命由我不由天！…
整个剧的亲情友情，体现的淋漓尽致，母爱无私，父爱如山。非常值得一看！"
风清丶湮,1,10,好评,特效非常不错，国漫崛起！
cglin123,1,9,好评,不错不错不错
田志鹏,0,10,好评,非常不错，老爸老妈也觉得可以！
机智的刘小鹿,0,10,好评,哪吒的故事是我们90后的青春，无论是小时候看过的哪个版本，都让我们感受到那种母子情深，还有他那如火般的正义感，这个版本的哪吒补全了以往版本很多缺少的东西，比如描写了李靖对儿子那如山般的爱，还有哪吒更强烈的叛逆，更加真实的表现了一个孩子从小被排斥对待的情感反应，故事的最后更有热血漫的桥段展现，“若命运不公，那就和他斗到底”，致敬所有不服命运而奋斗着的人们，可以看的出作者的野心之大，想构筑出一篇新的故事，不同于以往的哪吒，当真国漫之光啊！
杨谨婕了啦,2,10,好评,土拨鼠尖叫！！！也好看了吧！！！放映结束观众全体鼓掌！！！哪吒小爷太值了！！！跟敖丙CP我磕了！！！
陈圈圈,0,10,好评,“申公公，你也在呀？“不好意思我真的笑喷了！
啊哈哈哈哈哈哈哈哈哈哈哈哈哈哈,2,8,好评,非常好看的电影
蓮生叁拾贰,0,10,好评,啥都不说了，期待姜子牙
香菇青菜包,0,9,好评,"国漫新巅峰，无论技术还是情节。

影片在传统神话故事上做了很大的突破，情节和人物焕然一新！

虽然「我命由我不由天」的主题有点俗套，但讲的够燃够有趣够感动！！"
